"Freq [GHz]","dB(St(Microstrip_T1,Microstrip_T1)) []"
9.9,-9.26430411008777
9.91,-9.25939273441316
9.92,-9.25527294907315
9.93,-9.25192634748142
9.94,-9.24933483169918
9.95,-9.24748061276835
9.96,-9.2463462105582
9.97,-9.24591445317188
9.98,-9.24616847595503
9.99,-9.24709172014507
10,-9.24866793119685
