"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
3.76,0,2,1.86437773797913
3.76,0,3,1.87501587768611
3.76,0,4,1.8838826399308
3.76,0,5,1.89095266094279
3.76,0,6,1.89620530308049
3.76,0,7,1.89962470712785
3.76,0,8,1.90119982409871
3.76,0,9,1.9009244269846
3.76,0,10,1.89879710299179
3.76,0,11,1.89482122690857
3.76,0,12,1.88900491632495
3.76,0,13,1.88136096949317
3.76,0,14,1.87190678666999
3.76,0,15,1.86066427582052
3.76,0,16,1.84765974359022
3.76,0,17,1.83292377246631
3.76,0,18,1.81649108505561
3.76,0,19,1.79840039640167
3.76,0,20,1.77869425525394
3.76,0,21,1.75741887518556
3.76,0,22,1.73462395643632
3.76,0,23,1.71036249933512
3.76,0,24,1.68469061013313
3.76,0,25,1.65766730005591
3.76,0,26,1.62935427836186
3.76,0,27,1.59981574017558
3.76,0,28,1.56911814984975
3.76,0,29,1.5373300205979
3.76,0,30,1.50452169113349
3.76,0,31,1.47076510004818
3.76,0,32,1.43613355866374
3.76,0,33,1.40070152309749
3.76,0,34,1.36454436628992
3.76,0,35,1.32773815075405
3.76,0,36,1.2903594028189
3.76,0,37,1.2524848891524
3.76,0,38,1.21419139636168
3.76,0,39,1.175555514479
3.76,0,40,1.13665342514941
3.76,0,41,1.09756069533913
3.76,0,42,1.05835207738218
3.76,0,43,1.01910131617386
3.76,0,44,0.979880964304821
3.76,0,45,0.940762205905795
3.76,0,46,0.901814689941695
3.76,0,47,0.863106373653631
3.76,0,48,0.824703376798538
3.76,0,49,0.786669847278932
3.76,0,50,0.749067838689878
3.76,0,51,0.711957200237448
3.76,0,52,0.675395479403298
3.76,0,53,0.639437837644658
3.76,0,54,0.604136979328978
3.76,0,55,0.56954309400898
3.76,0,56,0.535703812048204
3.76,0,57,0.502664173510692
3.76,0,58,0.470466610132528
3.76,0,59,0.439150940098969
3.76,0,60,0.40875437526005
3.76,0,61,0.379311540331156
3.76,0,62,0.350854503544122
3.76,0,63,0.32341281813996
3.76,0,64,0.297013574027168
3.76,0,65,0.271681458870333
3.76,0,66,0.247438827822967
3.76,0,67,0.224305781076479
3.76,0,68,0.202300248364001
3.76,0,69,0.181438079533499
3.76,0,70,0.161733140288988
3.76,0,71,0.143197412191366
3.76,0,72,0.125841096011038
3.76,0,73,0.109672717532466
3.76,0,74,0.0946992349254753
3.76,0,75,0.0809261468188455
3.76,0,76,0.0683576002376571
3.76,0,77,0.0569964975963437
3.76,0,78,0.0468446019735777
3.76,0,79,0.0379026399323166
3.76,0,80,0.030170401187829
3.76,0,81,0.023646834467653
3.76,0,82,0.018330138949654
3.76,0,83,0.0142178507071253
3.76,0,84,0.0113069236328103
3.76,0,85,0.00959380435648729
3.76,0,86,0.00907450071312304
3.76,0,87,0.00974464336042312
3.76,0,88,0.0115995401858453
3.76,0,89,0.0146342231838254
3.76,0,90,0.0188434875242085
3.76,0,91,0.0242219225728593
3.76,0,92,0.0307639346653853
3.76,0,93,0.0384637614751081
3.76,0,94,0.0473154778571879
3.76,0,95,0.0573129930924543
3.76,0,96,0.0684500394973419
3.76,0,97,0.0807201524106969
3.76,0,98,0.0941166416143659
3.76,0,99,0.108632554292643
3.76,0,100,0.124260629686022
3.76,0,101,0.140993245647346
3.76,0,102,0.158822357363443
3.76,0,103,0.177739428562548
3.76,0,104,0.197735355587153
3.76,0,105,0.218800384773035
3.76,0,106,0.240924023637812
3.76,0,107,0.26409494644594
3.76,0,108,0.288300894780974
3.76,0,109,0.313528573819613
3.76,0,110,0.339763545064672
3.76,0,111,0.366990116354876
3.76,0,112,0.395191230027351
3.76,0,113,0.424348350163047
3.76,0,114,0.454441349894872
3.76,0,115,0.485448399802413
3.76,0,116,0.517345858454485
3.76,0,117,0.550108166190697
3.76,0,118,0.583707743254859
3.76,0,119,0.61811489340538
3.76,0,120,0.653297714130641
3.76,0,121,0.689222014589474
3.76,0,122,0.725851242378515
3.76,0,123,0.763146420198686
3.76,0,124,0.801066093452364
3.76,0,125,0.839566289751158
3.76,0,126,0.878600491251552
3.76,0,127,0.918119620662691
3.76,0,128,0.958072041687622
3.76,0,129,0.998403574567238
3.76,0,130,1.03905752729571
3.76,0,131,1.0799747429685
3.76,0,132,1.12109366361006
3.76,0,133,1.1623504107093
3.76,0,134,1.20367888256822
3.76,0,135,1.24501086844349
3.76,0,136,1.28627617933474
3.76,0,137,1.32740279514631
3.76,0,138,1.36831702782463
3.76,0,139,1.40894369995045
3.76,0,140,1.44920633814651
3.76,0,141,1.48902738054694
3.76,0,142,1.52832839746621
3.76,0,143,1.5670303243031
3.76,0,144,1.60505370562061
3.76,0,145,1.64231894925489
3.76,0,146,1.67874658922758
3.76,0,147,1.71425755616471
3.76,0,148,1.74877345386367
3.76,0,149,1.78221684059587
3.76,0,150,1.8145115136884
3.76,0,151,1.84558279589169
3.76,0,152,1.87535782201294
3.76,0,153,1.90376582427579
3.76,0,154,1.93073841485578
3.76,0,155,1.95620986403854
3.76,0,156,1.98011737245214
3.76,0,157,2.00240133583816
3.76,0,158,2.02300560084597
3.76,0,159,2.04187771036264
3.76,0,160,2.05896913692633
3.76,0,161,2.07423550281392
3.76,0,162,2.08763678544417
3.76,0,163,2.09913750679663
3.76,0,164,2.10870690561245
3.76,0,165,2.11631909121851
3.76,0,166,2.12195317789901
3.76,0,167,2.12559339883027
3.76,0,168,2.12722919869483
3.76,0,169,2.12685530419918
3.76,0,170,2.12447177183712
3.76,0,171,2.12008401236563
3.76,0,172,2.11370279159342
3.76,0,173,2.1053442072229
3.76,0,174,2.09502964163253
3.76,0,175,2.08278569063963
3.76,0,176,2.06864406843968
3.76,0,177,2.05264148907833
3.76,0,178,2.03481952497353
3.76,0,179,2.01522444316619
3.76,0,180,1.99390702013719
3.76,90,-180,1.99390702013719
3.76,90,-179,1.99298158734741
3.76,90,-178,1.99177352895866
3.76,90,-177,1.99028471959796
3.76,90,-176,1.98851734161162
3.76,90,-175,1.98647388173736
3.76,90,-174,1.98415712824706
3.76,90,-173,1.98157016853945
3.76,90,-172,1.97871638714892
3.76,90,-171,1.97559946412448
3.76,90,-170,1.97222337372029
3.76,90,-169,1.9685923833276
3.76,90,-168,1.96471105256673
3.76,90,-167,1.96058423244773
3.76,90,-166,1.95621706449894
3.76,90,-165,1.95161497975506
3.76,90,-164,1.94678369748985
3.76,90,-163,1.94172922357425
3.76,90,-162,1.93645784833763
3.76,90,-161,1.9309761438098
3.76,90,-160,1.92529096022282
3.76,90,-159,1.9194094216558
3.76,90,-158,1.91333892071238
3.76,90,-157,1.90708711212963
3.76,90,-156,1.90066190522827
3.76,90,-155,1.89407145512793
3.76,90,-154,1.88732415266692
3.76,90,-153,1.88042861298352
3.76,90,-152,1.87339366273529
3.76,90,-151,1.86622832595355
3.76,90,-150,1.8589418085513
3.76,90,-149,1.85154348152545
3.76,90,-148,1.8440428629158
3.76,90,-147,1.83644959860505
3.76,90,-146,1.82877344206504
3.76,90,-145,1.82102423317352
3.76,90,-144,1.81321187624388
3.76,90,-143,1.80534631742543
3.76,90,-142,1.7974375216452
3.76,90,-141,1.78949544927212
3.76,90,-140,1.78153003269204
3.76,90,-139,1.7735511529856
3.76,90,-138,1.76556861690212
3.76,90,-137,1.75759213431963
3.76,90,-136,1.74963129637572
3.76,90,-135,1.7416955544446
3.76,90,-134,1.73379420012409
3.76,90,-133,1.72593634638194
3.76,90,-132,1.7181309099936
3.76,90,-131,1.71038659538561
3.76,90,-130,1.70271187997793
3.76,90,-129,1.69511500109779
3.76,90,-128,1.68760394451539
3.76,90,-127,1.68018643463012
3.76,90,-126,1.67286992631385
3.76,90,-125,1.66566159839715
3.76,90,-124,1.65856834876398
3.76,90,-123,1.65159679100214
3.76,90,-122,1.64475325253981
3.76,90,-121,1.63804377418376
3.76,90,-120,1.63147411096214
