"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
4.9,90,-55,0.563193075112902
4.9,90,-54,0.602399607587934
4.9,90,-53,0.642292542230599
4.9,90,-52,0.682825618126823
4.9,90,-51,0.723951688394915
4.9,90,-50,0.76562273688771
4.9,90,-49,0.807789895059867
4.9,90,-48,0.85040345940725
4.9,90,-47,0.893412909894455
4.9,90,-46,0.936766929791072
4.9,90,-45,0.980413427336207
4.9,90,-44,1.02429955964533
4.9,90,-43,1.06837175926344
4.9,90,-42,1.11257576375459
4.9,90,-41,1.15685664870027
4.9,90,-40,1.20115886445756
4.9,90,-39,1.24542627700439
4.9,90,-38,1.28960221317167
4.9,90,-37,1.33362951053215
4.9,90,-36,1.37745057218367
4.9,90,-35,1.42100742662885
4.9,90,-34,1.46424179291576
4.9,90,-33,1.50709515116339
4.9,90,-32,1.54950881855291
4.9,90,-31,1.59142403081959
4.9,90,-30,1.63278202923201
4.9,90,-29,1.67352415299396
4.9,90,-28,1.71359193695119
4.9,90,-27,1.75292721442919
4.9,90,-26,1.79147222497128
4.9,90,-25,1.82916972668696
4.9,90,-24,1.86596311286146
4.9,90,-23,1.90179653241748
4.9,90,-22,1.93661501376145
4.9,90,-21,1.97036459148924
4.9,90,-20,2.00299243537136
4.9,90,-19,2.0344469809864
4.9,90,-18,2.0646780613243
4.9,90,-17,2.09363703863945
4.9,90,-16,2.12127693579798
4.9,90,-15,2.14755256633541
4.9,90,-14,2.17242066242003
4.9,90,-13,2.19583999990504
4.9,90,-12,2.2177715196493
4.9,90,-11,2.2381784442922
4.9,90,-10,2.25702638968335
4.9,90,-9,2.27428347019235
4.9,90,-8,2.28992039715772
4.9,90,-7,2.30391056977672
4.9,90,-6,2.31623015778913
4.9,90,-5,2.32685817536698
4.9,90,-4,2.33577654568869
4.9,90,-3,2.34297015574862
4.9,90,-2,2.34842690103122
4.9,90,-1,2.35213771976144
4.9,90,0,2.35409661652924
4.9,90,1,2.35430067517421
4.9,90,2,2.35275006090571
4.9,90,3,2.34944801172403
4.9,90,4,2.34440081929583
4.9,90,5,2.33761779952434
4.9,90,6,2.32911125313704
4.9,90,7,2.31889641669308
4.9,90,8,2.30699140448561
4.9,90,9,2.29341714188185
4.9,90,10,2.27819729070371
4.9,90,11,2.26135816730421
4.9,90,12,2.24292865403911
4.9,90,13,2.22294010486767
4.9,90,14,2.20142624584234
4.9,90,15,2.17842307126305
4.9,90,16,2.15396873627748
4.9,90,17,2.12810344670547
4.9,90,18,2.10086934685199
4.9,90,19,2.07231040605076
4.9,90,20,2.04247230464939
4.9,90,21,2.01140232010706
4.9,90,22,1.97914921382971
4.9,90,23,1.94576311931391
4.9,90,24,1.91129543211251
4.9,90,25,1.87579870207247
4.9,90,26,1.83932652822922
4.9,90,27,1.80193345667492
4.9,90,28,1.76367488164919
4.9,90,29,1.72460695003437
4.9,90,30,1.68478646937107
4.9,90,31,1.64427081944787
4.9,90,32,1.60311786746017
4.9,90,33,1.56138588667979
4.9,90,34,1.51913347852869
4.9,90,35,1.47641949790857
4.9,90,36,1.43330298160269
4.9,90,37,1.38984307953783
4.9,90,38,1.34609898867267
4.9,90,39,1.30212988926395
4.9,90,40,1.2579948832532
4.9,90,41,1.21375293451435
4.9,90,42,1.16946281070557
4.9,90,43,1.12518302647636
4.9,90,44,1.08097178779293
4.9,90,45,1.03688693716037
4.9,90,46,0.99298589953825
4.9,90,47,0.949325628766216
4.9,90,48,0.905962554338141
4.9,90,49,0.862952528385097
4.9,90,50,0.820350772750381
4.9,90,51,0.778211826062002
4.9,90,52,0.736589490729924
4.9,90,53,0.695536779816577
4.9,90,54,0.655105863749319
4.9,90,55,0.615348016863066
4.9,90,56,0.576313563779568
4.9,90,57,0.538051825647743
4.9,90,58,0.500611066286053
4.9,90,59,0.464038438284627
4.9,90,60,0.428379929140429
4.9,90,61,0.393680307514425
4.9,90,62,0.359983069715113
4.9,90,63,0.327330386527623
4.9,90,64,0.295763050522738
4.9,90,65,0.265320423994624
4.9,90,66,0.236040387690497
4.9,90,67,0.207959290509014
4.9,90,68,0.181111900357384
4.9,90,69,0.155531356369059
4.9,90,70,0.131249122694778
4.9,90,71,0.108294944089039
4.9,90,72,0.0866968035214786
4.9,90,73,0.066480882048117
4.9,90,74,0.0476715211805378
4.9,90,75,0.0302911879916349
4.9,90,76,0.0143604431944362
4.9,90,77,-0.000102087574404993
4.9,90,78,-0.013079739042638
4.9,90,79,-0.0245578279489853
4.9,90,80,-0.0345236708486662
4.9,90,81,-0.0429665978948554
4.9,90,82,-0.0498779624318434
4.9,90,83,-0.0552511462573513
4.9,90,84,-0.0590815604349571
4.9,90,85,-0.0613666415637047
4.9,90,86,-0.0621058434392458
4.9,90,87,-0.0613006240702875
4.9,90,88,-0.0589544280445119
4.9,90,89,-0.055072664269507
4.9,90,90,-0.0496626791467978
4.9,90,91,-0.0427337252696244
4.9,90,92,-0.0342969257682603
4.9,90,93,-0.0243652344597091
4.9,90,94,-0.0129533919914677
4.9,90,95,-7.78782010791972e-05
4.9,90,96,0.0142431390551147
4.9,90,97,0.0299898583204349
4.9,90,98,0.0471409018911276
4.9,90,99,0.0656733757645526
4.9,90,100,0.0855629318176869
4.9,90,101,0.106783831828325
4.9,90,102,0.129309012931634
4.9,90,103,0.153110154087881
4.9,90,104,0.178157743123858
4.9,90,105,0.204421143901237
4.9,90,106,0.231868663159832
4.9,90,107,0.260467616582994
4.9,90,108,0.290184393636744
4.9,90,109,0.32098452074314
4.9,90,110,0.352832722362972
4.9,90,111,0.385692979582356
4.9,90,112,0.419528585823019
4.9,90,113,0.454302199326257
4.9,90,114,0.489975892096044
4.9,90,115,0.526511195027169
4.9,90,116,0.563869138989356
4.9,90,117,0.602010291687388
4.9,90,118,0.640894790170304
4.9,90,119,0.680482368918687
4.9,90,120,0.720732383497599
4.9,90,121,0.761603829822998
4.9,90,122,0.803055359150715
4.9,90,123,0.845045288958452
4.9,90,124,0.887531609952263
4.9,90,125,0.930471989487845
4.9,90,126,0.973823771754412
4.9,90,127,1.01754397512219
4.9,90,128,1.06158928710464
4.9,90,129,1.10591605743144
4.9,90,130,1.15048028976763
4.9,90,131,1.19523763264822
4.9,90,132,1.24014337022397
4.9,90,133,1.28515241343406
4.9,90,134,1.33021929223361
4.9,90,135,1.37529814950835
4.9,90,136,1.42034273730556
4.9,90,137,1.46530641599873
4.9,90,138,1.51014215698425
4.9,90,139,1.55480254948097
4.9,90,140,1.5992398119689
4.9,90,141,1.64340580876119
4.9,90,142,1.68725207215469
4.9,90,143,1.7307298305493
4.9,90,144,1.77379004286556
4.9,90,145,1.81638343952399
4.9,90,146,1.85846057017967
4.9,90,147,1.89997185833207
4.9,90,148,1.94086766285365
4.9,90,149,1.98109834640294
4.9,90,150,2.02061435060876
4.9,90,151,2.05936627783321
4.9,90,152,2.09730497924315
4.9,90,153,2.13438164884353
4.9,90,154,2.17054792305202
4.9,90,155,2.20575598532465
4.9,90,156,2.2399586752757
4.9,90,157,2.27310960167449
4.9,90,158,2.30516325864612
4.9,90,159,2.3360751443544
4.9,90,160,2.36580188140271
4.9,90,161,2.39430133815366
4.9,90,162,2.42153275014104
4.9,90,163,2.44745684072796
4.9,90,164,2.47203594015379
4.9,90,165,2.49523410210935
4.9,90,166,2.51701721698493
4.9,90,167,2.53735312094898
4.9,90,168,2.55621170003693
4.9,90,169,2.57356498845868
4.9,90,170,2.58938726037064
4.9,90,171,2.60365511440216
4.9,90,172,2.61634755027783
4.9,90,173,2.62744603693456
4.9,90,174,2.63693457159659
4.9,90,175,2.64479972934038
4.9,90,176,2.65103070275624
4.9,90,177,2.65561933139131
4.9,90,178,2.65856012074161
4.9,90,179,2.65985025064509
4.9,90,180,2.65948957301577
